dir;receptor;fingerprint;model;mean_test_auc;mean_test_bal-acc;mean_test_acc;mean_test_mcc;mean_test_recall
data;5HT6;3D_H;sAE_SoftMax;0.956;0.904;0.904;0.812;0.959
pca_0.9;catL;3D_H;RBF SVM;0.955;0.847;0.886;0.704;0.764
data;5HT6;MACCS;RBF SVM;0.955;0.844;0.929;0.67;0.954
data;HIVprot;3D_H;LogisticRegression;0.955;0.884;0.917;0.754;0.941
data;catL;3D_noH;LogisticRegression;0.955;0.838;0.886;0.701;0.736
data;catL;3D_H;Linear SVM;0.955;0.874;0.886;0.722;0.847
data;HIVint;MACCS;RBF SVM;0.954;0.902;0.939;0.77;0.848
data;5HT2A;KRFP;RBF SVM;0.954;0.862;0.898;0.718;0.929
data;5HT2A;Ext;RBF SVM;0.954;0.86;0.896;0.71;0.926
data;catL;Ext;Linear SVM;0.954;0.886;0.897;0.747;0.861
data;HIVint;GraphOnly;LogisticRegression;0.954;0.884;0.931;0.735;0.818
data;mi;3D_noH;Linear SVM;0.954;0.898;0.92;0.797;0.946
data;mi;FP;RBF SVM;0.954;0.879;0.906;0.765;0.941
data;kappa;2D_H;RBF SVM;0.954;0.88;0.9;0.743;0.919
data;kappa;2D_noH;RBF SVM;0.954;0.88;0.9;0.743;0.919
pca_100;catL;3D_H;RBF SVM;0.954;0.866;0.908;0.758;0.778
data;5HT2A;2D_H;LogisticRegression;0.953;0.891;0.906;0.745;0.917
data;catL;2D_H;LogisticRegression;0.953;0.889;0.916;0.786;0.833
data;5HT2A;2D_noH;LogisticRegression;0.953;0.891;0.906;0.745;0.917
data;catL;2D_noH;LogisticRegression;0.953;0.889;0.916;0.786;0.833
data;kappa;2D_H;Linear SVM;0.953;0.896;0.904;0.76;0.912
data;catL;GraphOnly;LogisticRegression;0.953;0.902;0.908;0.776;0.889
data;D2;3D_H;LogisticRegression;0.953;0.882;0.887;0.753;0.897
data;kappa;Ext;RBF SVM;0.953;0.882;0.9;0.747;0.92
data;kappa;2D_noH;Linear SVM;0.953;0.896;0.904;0.76;0.912
pca_100;mi;3D_H;RBF SVM;0.952;0.896;0.891;0.752;0.885
data;5HT2c;2D_H;RBF SVM;0.951;0.88;0.884;0.748;0.893
data;5HT2c;2D_noH;RBF SVM;0.951;0.88;0.884;0.748;0.893
data;mi;2D_noH;Linear SVM;0.951;0.901;0.914;0.789;0.931
data;NOP;FP;Linear SVM;0.951;0.867;0.86;0.726;0.907
data;5HT2c;2D_noH;RBF SVM;0.951;0.88;0.884;0.748;0.893
data;D2;FP;RBF SVM;0.951;0.874;0.886;0.747;0.912
data;mi;Ext;RBF SVM;0.951;0.897;0.916;0.791;0.939
data;mi;KRFP;Linear SVM;0.951;0.892;0.906;0.772;0.924
data;mi;2D_H;Linear SVM;0.951;0.901;0.914;0.789;0.931
data;5HT2A;2D_H;RBF SVM;0.95;0.885;0.902;0.734;0.916
data;5HT2A;2D_noH;RBF SVM;0.95;0.885;0.902;0.734;0.916
data;5HT6;KRFP;RBF SVM;0.95;0.895;0.917;0.677;0.924
data;NOP;FP;LogisticRegression;0.95;0.883;0.876;0.76;0.926
data;5HT6;KRFP;Linear SVM;0.95;0.875;0.923;0.676;0.937
data;delta;GraphOnly;LogisticRegression;0.95;0.866;0.873;0.725;0.89
data;D2;3D_H;RBF SVM;0.95;0.882;0.894;0.765;0.921
data;mi;PubCh;RBF SVM;0.95;0.896;0.912;0.784;0.933
pca_0.9;D2;3D_H;RBF SVM;0.949;0.878;0.877;0.738;0.875
data;5HT2A;3D_H;LogisticRegression;0.949;0.878;0.897;0.725;0.913
data;catL;3D_noH;Linear SVM;0.949;0.845;0.89;0.71;0.75
data;HIVint;PubCh;RBF SVM;0.949;0.917;0.965;0.852;0.848
pca_0.9;kappa;3D_H;LogisticRegression;0.948;0.87;0.868;0.69;0.865
data;mi;FP;LogisticRegression;0.948;0.885;0.898;0.752;0.915
data;HIVint;PubCh;Linear SVM;0.948;0.949;0.978;0.911;0.909
data;HIVprot;PubCh;RBF SVM;0.948;0.876;0.902;0.72;0.921
data;5HT2A;3D_H;RBF SVM;0.948;0.881;0.901;0.734;0.917
data;HIVprot;3D_H;RBF SVM;0.947;0.883;0.915;0.75;0.938
